ID,Diâmetro (mm),Altura (mm),Massa (g),Resistência (kgf),Recozidos,diametro,altura,massa,resistencia,recozimento,resistencia_original,falha_ensaio,raio,volume,densidade_aparente,grupo,residuo,predicao,anomalia,grupo_final,suspeito
335,17.38,32.8,8.2,1225,NÃO,17.38,32.8,8.2,1225.0,0,1225.0,0,8.69,7781.49905959827,0.001053781531964,,-112.6711276776125,1337.6711276776125,1,nao_outlier,0
297,14.71,20.43,3.8,958,NÃO,14.71,20.43,3.8,958.0,0,958.0,0,7.355,3472.030994701412,0.0010944602757864,,30.989693131906165,927.0103068680938,1,nao_outlier,0
318,15.85,21.84,4.7,1129,NÃO,15.85,21.84,4.7,1129.0,0,1129.0,0,7.925,4309.243631873881,0.0010906786437498,,117.9908888754137,1011.0091111245863,1,nao_outlier,0
311,15.16,28.32,5.5,988,NÃO,15.16,28.32,5.5,988.0,0,988.0,0,7.58,5111.890389293414,0.0010759229132767,,-97.67471490813523,1085.6747149081352,1,nao_outlier,0
315,15.86,21.82,4.7,1113,NÃO,15.86,21.82,4.7,1113.0,0,1113.0,0,7.93,4310.731703782922,0.0010903021396287,,101.9908888754137,1011.0091111245863,1,nao_outlier,0
317,15.87,29.56,6.3,1108,NÃO,15.87,29.56,6.3,1108.0,0,1108.0,0,7.935,5847.202904421694,0.0010774382389288,,-52.34031869168393,1160.340318691684,1,nao_outlier,0
290,14.06,26.26,4.5,896,NÃO,14.06,26.26,4.5,896.0,0,896.0,0,7.03,4077.136433175878,0.0011037158245142,,-96.34271017869912,992.3427101786991,1,nao_outlier,0
284,13.41,25.07,3.8,818,NÃO,13.41,25.07,3.8,818.0,0,818.0,0,6.705,3540.8030528440245,0.001073202870447,,-109.01030686809383,927.0103068680938,1,nao_outlier,0
338,17.33,32.8,8.25,1298,NÃO,17.33,32.8,8.25,1298.0,0,1298.0,0,8.665,7736.790740385766,0.0010663336099986,,-44.337727914084326,1342.3377279140843,1,nao_outlier,0
341,17.26,32.8,8.2,1261,NÃO,17.26,32.8,8.2,1261.0,0,1261.0,0,8.63,7674.415486390248,0.0010684852826305,,-76.6711276776125,1337.6711276776125,1,nao_outlier,0
299,14.74,27.58,5.1,953,NÃO,14.74,27.58,5.1,953.0,0,953.0,0,7.37,4706.294611079176,0.0010836550665557,,-95.34191301636065,1048.3419130163606,1,nao_outlier,0
287,13.36,25.03,3.8,806,NÃO,13.36,25.03,3.8,806.0,0,806.0,0,6.68,3508.840662759396,0.0010829787856515,,-121.01030686809383,927.0103068680938,1,nao_outlier,0
